项目,数值,单位
口径,"自然日 00:00–24:00（交付期 334 天 / 48,096 个 10 分钟时段）",
模型,multistage_rolling_SAA_scenario_branched_recourse,
情景数 K,30,
阶段,0:00 / 6:00 / 12:00 / 18:00（四阶段全启用）,
计划口径,模板行 00:10→次日 00:10（表1 用）,
物理/费用口径,自然日 00:00–24:00（表2/表3 与总费用用）,
,,
指标,数值,单位
自然日总费用,13162682.8855,元
　计划购电费（自然日）,12114099.7164,元
　调整相关费用（自然日）,833624.8961,元
　紧急购电费,214958.2730,元
计划购电量（模板行）,20154006.0445,kWh
最终合同购电量（模板行）,20473955.4700,kWh
计划购电量（自然日）,20153871.2917,kWh
最终合同购电量（自然日）,20473820.7173,kWh
紧急购电量,38737.7478,kWh
紧急购电量占比,0.1918,%
紧急购电费占比,1.6331,%
充电量（母线侧）,6921852.8792,kWh
放电量（母线侧）,5607033.8130,kWh
弃电量,1258785.6073,kWh
累计上调量,585146.1293,kWh
累计下调量,265196.7037,kWh
净上调量,319949.4256,kWh
储能等效循环次数（/9600 kWh）,584.0660,次
含紧急购电的日期数,138,天
无紧急购电的日期数,196,天
,,
稳健性检验,,
求解器 highs-ds 与主答案之差,0.0000（逐位相同）,元
求解器 highs-ipm 与主答案之差,-28.2087,元
求解器偏差占比,-0.000214,%
LP 跨算法最大相对目标偏差,6.174e-14,—
"解向量不同的 (LP,算法) 对数占比",46.9,%
独立复算总费用偏差,0.000e+00,元
独立复算失败项数,0,项
λ 敏感性极差（0–3 倍）,97158.1623,元
λ 敏感性极差占比,0.7381,%
λ 费用是否单调,False,—
,,
预报发布组合对照,,
最优组合,0+6+12+18,—
全启用相对仅 0:00 的节省,622378.8759,元
　节省率,4.5149,%
Shapley 6:00,130907.9014,元
Shapley 12:00,186175.2898,元
Shapley 18:00,305295.6847,元
,,
与第四问对照,,
第四问 Q4-3 自然日总费用,13847794.9401,元
Q3→Q4 差额,685112.0546,元
　差额占比,5.2050,%
