指标,数值,单位,口径,来源
总费用（合计购电费）,14455427.634039497,元,自然日 2025-02-01至12-31（334天）,summary.totals_natural_day.total_cost_yuan
计划购电费,12833056.45303883,元,自然日,summary
紧急购电费,1622371.1810006674,元,自然日,summary
其他费用项,0.0,元,第二问无调整费/无售电收益,题面：除紧急购电外均按计划购电量计费
购电总量（计划）,20755750.908379737,kWh,自然日,summary
购电总量（计划，模板行）,20755929.62421307,kWh,模板行口径,daily_metrics 加总（推导）
紧急购电量,267693.19936067454,kWh,自然日,summary
紧急购电量占比,1.2733080174152591,%,ΣE/(ΣG+ΣE),推导
充电总量,6171586.855676626,kWh,自然日,interval_detail 加总（推导）
放电总量,4999520.940541622,kWh,自然日,interval_detail 加总（推导）
储能运行范围-下界,1200.0,kWh,全期实测最小值,summary.checks
储能运行范围-上界,10800.0,kWh,全期实测最大值,summary.checks
储能等效循环次数,1041.566862612838,次,ΣD/(10800-1200)=ΣD/4800,推导（定义需论文声明）
储能等效循环次数（按总容量）,416.6267450451352,次,ΣD/12000,推导
出现紧急购电的时段数,1460,个,10分钟时段,summary
出现紧急购电的天数,170,天,334 天中,推导
剩余电量合计U,1912424.400972075,kWh,自然日；不等于弃光,summary
光伏富余电量,3058159.9161999994,kWh,实际净负荷为负的部分,推导
计划购电量为0的时段数,17466,个,10分钟时段,推导
预测MAE,61.29313486425586,kWh/时段,全期,summary.forecast_metrics
无储能基线总费用,18703830.01744233,元,自然日,summary.baseline_no_storage
主策略相对无储能节省,4248402.383402833,元,自然日,summary.baseline_no_storage
局部反事实总费用,16911564.817846894,元,自然日（局部反事实）,summary.local_counterfactual
日内因果补救增量价值,2456137.1838073954,元,自然日,summary.local_counterfactual
终端储电价值v,0.33417,元/内部kWh,=0.9×min(p),summary.parameters
交付期天数,334,天,2025-02-01至2025-12-31,summary.period
