图文件,图题,数据来源文件,用到的列,行数/规模,图型,已产出格式
fig4_1a_price_profile,图 4-1a 附件4 日内电价形态,q4_price_profile.csv,slot; label; mean; p10; p90; shape; annex1_price,144 行,折线 + 分位带（fill_between，有数学意义）；归一化形态另置上/下共享 x 轴面板（**不用双 Y 轴**）,pdf+png+svg
fig4_1b_price_forecast,图 4-1b 电价预测精度（四阶段）,q4_price_forecast_error.csv,stage; publish_hour; MAPE; MAE_yuan_per_kwh; MAE_same_window_no_update; MAE_persistence,4 行,分组柱（上下双面板）,pdf+png+svg
fig4_2a_dispatch_2days,图 4-2a 两日调度对照（4-2 vs 4-3）,q4_target_days_interval.csv,date; slot; x; q; price_template,2 日 × 144 段 × 2 变体,上下共享 x 轴双面板：上＝电价，下＝购电量分组柱（**不用双 Y 轴**）,pdf+png+svg
fig4_2b_plan_vs_final,图 4-2b 指定日期计划购电量与最终调整购电量,q4_target_days_interval.csv,date; slot; x; q; price_template,4 日 × 144 段 × 2 变体,step 折线（多面板）,pdf+png+svg
fig4_3a_monthly_cost,图 4-3a 月度费用构成与紧急购电占比,q4_monthly_summary.csv,month; plan_cost; adjust_cost; emergency_cost; total_cost,11 月 × 2 变体,上下共享 x 轴双面板：上＝堆叠柱（元），下＝紧急购电占比折线（%）（**不用双 Y 轴**）,pdf+png+svg
fig4_3b_adjust_profile,图 4-3b 合约调整量的日内分布与阶段分解,q4_target_days_interval.csv; q4_hourly_profile.csv,slot; q−x; price_template,334 日 × 144 段,正负双向柱 + 电价折线,pdf+png+svg
fig4_4a_soc_trajectory,图 4-4a 指定日期储电量轨迹,q4_target_days_interval.csv,date; slot; S,4 日 × 145 点 × 2 变体,折线（线型区分变体 + 边界虚线）,pdf+png+svg
fig4_4b_soc_distribution,图 4-4b 储电量分布与边界触及,q4_soc_hist.csv,bin_lo; bin_hi; count_42; count_43,48 箱 × 2 变体,阶梯直方图 + 边界竖线,pdf+png+svg
fig4_5a_emergency_price_band,图 4-5a 紧急购电的价格档与时刻分布,q4_emergency_by_price_band.csv; q4_hourly_profile.csv,band_lo; band_hi; kwh_42; kwh_43; hour; emergency_kwh_42; emergency_kwh_43,9 档 + 24 时,左右双面板：左＝价格档分组柱，右＝24 小时分组柱（**不用双 Y 轴**）,pdf+png+svg
fig4_5b_curtail_profile,图 4-5b 弃电量的日内分布,q4_hourly_profile.csv,hour; curtail_kwh_42; curtail_kwh_43,24 行,分组柱,pdf+png+svg
fig4_6_strategy_compare,图 4-6 四种组合的总费用对照（2×2）,q4_strategy_compare_4cells.csv; q4_perfect_foresight.csv,cell; price_process; decision; total_cost_yuan,4 格（其中 1 格【待补】）,柱状 + 带标注的差值箭头,pdf+png+svg
fig4_7a_solver_stability,图 4-7a 求解器配置稳定性与 LP 退化,q4_solver_sensitivity.csv; q4_solver_degeneracy_summary.csv,variant; method; total_gap_yuan; n_solution_differs; n,3 行 + 5 行,柱状（左右双面板）,pdf+png+svg
fig4_7b_lambda_sensitivity,图 4-7b 终端储能水价 λ 的全年敏感性,q4_lambda_sensitivity.csv; q4_lambda_range.csv,lam_over_baseline; total_cost_yuan; soc_end_delivery_kwh,7 点 × 2 变体,上下共享 x 轴双面板：上＝总费用折线+marker，下＝期末 SOC（**不用双 Y 轴**，用以展示体制切换）,pdf+png+svg
fig4_8_perfect_foresight,图 4-8 完美预见拆分：与第三问 +5.20% 的构成,q4_perfect_foresight.csv,point; total_cost_yuan; gap_vs_q3_yuan; gap_pct_vs_q3,3 点 + 4 项分解,柱状 + 瀑布/堆叠分解,pdf+png+svg
